timestamp,SlurryPDI_kgpercm2g_ASide_G220PDI134046B,OxygenPDI_kgpercm2g_ASide_G220PDI134058B,SlurrySPMMagFlow_m3perh_G220FI133018A,CTSbased1ststagetemperature_oc_G220TY134703,Slurrypressure_kgpercm2g_ASide_G220PI134046A,OxygenFlowtoMixers_kgperh_ASide_G220FIC134333.MEAS,OxygenControlvalveSPPV_kgperh_ASide_G220FIC134333.SPT,OxygenPDI_kgpercm2g_ASide_G220PDI134058B_minus_SlurryPDI_kgpercm2g_ASide_G220PDI134046B
2023-03-10 20:42:00,-0.9746446531979692,-0.6553812759713057,1.2203747382520669,-0.8741332416163476,-0.8573795954375603,0.050527724936107,1.2004303069488649,0.6318444944010566
2023-03-10 20:43:00,-0.976837150349359,-0.6868145065260963,-0.0361001034839139,-0.6203014904947397,-0.9142445734110862,0.0384426649819661,0.2287279220907805,0.5639066775155405
2023-03-10 20:44:00,-1.1195111042575374,-0.7307521041451057,-0.0578407528024375,-0.4642611703488456,-1.1505002390441963,0.0263576050278511,-0.0623993536260467,0.7768603710762063
2023-03-10 20:45:00,-1.1479226002223009,-1.3431808832461325,-0.0562290009420833,0.0714096857144322,-1.323366532623058,0.0142725450737102,-0.0724181558906724,-0.5783576668614148
2023-03-10 20:46:00,-1.2326005638088764,-0.8403237416003607,-0.0174548431540828,-0.3273681085298486,-1.3713625510922292,0.0021874851195951,-0.0851644258213725,0.7726089919165507
2023-03-10 20:47:00,-0.9976798758753695,-0.6658050743583891,-0.1188145565079166,-0.2097907594703681,-1.0565499309209376,-0.0082197965138927,-0.0975790676511803,0.6585172876285567
2023-03-10 20:48:00,-1.252810114846074,-1.016705447093353,-0.0538753374666698,-0.1864651736043371,-1.2056870391712955,-0.0204001434792953,-0.1043031094670743,0.4088275136576499
2023-03-10 20:49:00,-1.189254621972054,-0.9792266916572676,-0.0117225764512138,0.079009482809506,-1.1666196666631046,-0.0462548155127187,-0.1136493317299071,0.3554215629290177
2023-03-10 20:50:00,-0.9740444963054256,-0.6610490340376798,-0.0485401720628081,0.1136109754720829,-0.88949642291334,-0.0709791928332844,-0.1149703195257333,0.61739894019478
2023-03-10 20:51:00,-1.056446215462456,-0.6264901424990896,0.1501795600702805,0.0071601652140523,-0.9817111948323272,-0.0856759503103178,-0.1182048379801357,0.8791514770256907
2023-03-10 20:52:00,-1.2373327180560447,-0.5977444089832907,0.330227791506458,0.0465207805054542,-1.1722533247920706,-0.0975962720787761,0.2325799056181254,1.3446603627171507
2023-03-10 20:53:00,-1.1529791592505871,-0.5719433129942455,-0.1663977816922789,-0.1946061329422111,-1.0469639238699622,-0.1062759603792672,-0.0664472722010023,1.2183470146391815
2023-03-10 20:54:00,-1.3203859982416672,-0.9090033972395756,-0.1681187753635297,-0.4652528342532249,-1.1549362129999932,-0.1089373293820789,-0.1348119562204252,0.807220084264567
2023-03-10 20:55:00,-0.9049615987650336,-0.8133418349964111,-0.0417559625882872,-1.1337262008462474,-0.8063862794224879,-0.1653791412932984,-0.1421348646896218,0.1124470311662487
2023-03-10 20:56:00,-0.581070345496244,-0.5748492531338827,-0.1455328840910206,-1.4676092034239694,-0.5856436602306322,-0.5752352923171884,-0.1434770000934828,-0.0497642788649951
2023-03-10 20:57:00,1.632123703699347,1.2094174726067426,0.8913454502311393,-1.7287529120106524,1.453571931470202,-1.0297809590250795,0.3475729998062485,-0.8002185644389556
2023-03-10 20:58:00,1.7110706464450742,2.2300943489335228,-0.082168495754434,-2.252319417280086,1.5189438292015789,0.440152082127372,0.57797196818004,1.388707061994901
2023-03-10 20:59:00,0.8639733886608673,1.196374781077294,-0.4703546710556225,-0.8969180569389322,0.8156740107592678,0.2517632250378602,-0.1096848027636654,0.8637926997799741
2023-03-10 21:00:00,0.397932883818558,1.024604380375133,-0.6642772182161719,-1.5978024269406346,0.3284115883941351,-0.0185902875452365,-0.1111500164267202,1.4939974997900187
2023-03-10 21:01:00,0.7661301797329121,0.8729847314200666,-1.220273538962224,-0.9776647170696188,0.7192668030534666,-0.1156608049736636,-1.0343600712705996,0.3308870443267235
2023-03-10 21:02:00,2.181296760082465,1.894862073714181,0.6825938846379993,-0.95720942050961,1.9486832930382696,-1.3458871921705946,0.4732170376079462,-0.4245307193579083
2023-03-10 21:03:00,2.0575078442278065,1.8864495537772397,0.858350438577539,-1.3101728314012029,1.8025985194006404,-0.1409579322391678,1.3197859518572592,-0.1709823819578624
2023-03-10 21:04:00,2.228996035198365,1.878037033840288,-0.1033844909966584,0.3780920688332314,1.9981176339372293,0.0029868033158112,0.3783191546891939,-0.5686876518172577
2023-03-10 21:05:00,2.031589544665086,1.859096115748524,-0.0363225901209268,1.1818434617262874,1.84532350491566,0.0003490477122835,-0.1106576501111702,-0.1771458936982809
2023-03-10 21:06:00,2.069011226883258,1.838764654504217,-0.2720406848369494,2.22455443654905,1.9106373771732,-0.0022887078912442,-0.1159590808581075,-0.3067528895981963
2023-03-10 21:07:00,1.494136807581486,1.6307244704570056,0.2839009292508993,2.611833637015548,1.41192576095611,-0.0049264634947461,0.2553250187337873,0.4795214641824525
2023-03-10 21:08:00,1.1505555628973003,1.225043112517383,-0.0792846170401716,2.823581798081701,1.067155120974822,-0.0075642190982739,0.2438870480340651,0.298088638182948
2023-03-10 21:09:00,1.039506181524019,1.0115483126924223,-0.0073764550282545,3.389352691094053,1.0321633708876732,-0.0102019747018017,-0.0935607393340174,0.0487371306538764
